Time	Group
1.75	Ozon_Old
1.75	Ozon_Old
1.75	Ozon_Old
1.73	Ozon_Old
1.73	Ozon_Old
1.72	Ozon_Old
1.7	Ozon_Old
1.7	Ozon_Old
1.7	Ozon_Old
1.68	Ozon_Old
1.65	Ozon_Old
1.65	Ozon_Old
1.65	Ozon_Old
1.63	Ozon_Old
1.62	Ozon_Old
1.62	Ozon_Old
1.62	Ozon_Old
1.62	Ozon_Old
1.6	Ozon_Old
1.6	Ozon_Old
1.6	Ozon_Old
1.6	Ozon_Old
1.6	Ozon_Old
1.58	Ozon_Old
1.58	Ozon_Old
1.57	Ozon_Old
1.57	Ozon_Old
1.57	Ozon_Old
1.57	Ozon_Old
1.55	Ozon_Old
1.55	Ozon_Old
1.55	Ozon_Old
1.55	Ozon_Old
1.53	Ozon_Old
1.53	Ozon_Old
1.53	Ozon_Old
1.52	Ozon_Old
1.52	Ozon_Old
1.5	Ozon_Old
1.5	Ozon_Old
1.5	Ozon_Old
1.48	Ozon_Old
1.48	Ozon_Old
1.47	Ozon_Old
1.45	Ozon_Old
1.45	Ozon_Old
1.43	Ozon_Old
1.43	Ozon_Old
1.43	Ozon_Old
1.42	Ozon_Old
